company,topic,question,answer
Infosys,Quantitative Aptitude,Cube of volume 1000 cm3 is painted and divided into 1 cm3 cubes. How many cubes have at least one face painted and how many have none painted?,
Infosys,Logical Reasoning,Members expect different parties to win an election. One part of each statement is true. Which party will win?,
Infosys,Direction Sense,Manish travels in multiple directions. Find his distance from the starting point.,
Infosys,Blood Relation,Determine relationships based on given family relations.,
Infosys,Seating Arrangement,Determine seating positions based on given constraints.,
Infosys,Coding-Decoding,Decode word patterns based on given coding rules.,
Infosys,English Comprehension,Questions based on passage about Mayan civilization.,
Infosys,English Vocabulary,Choose correct synonym/antonym based on context.,
Infosys,Grammar,Identify grammatical errors in given sentences.,
Infosys,Sentence Improvement,Choose correct sentence correction.,
Infosys,Inference,"Determine whether inference is true, false or data inadequate.",
Infosys,Analytical Reasoning,Family-based logic puzzle involving boys and girls.,
Infosys,Probability,Probability-based reasoning problems.,
Infosys,Technical-C,Difference between NULL pointer and NULL macro.,
Infosys,Technical-C++,Difference between const char *p and char const *p.,
Infosys,Technical-Java,Explain JVM.,
Infosys,SQL,Explain ACID properties.,
Infosys,SQL,What is log shipping?,
Wipro,Physics,Thermodynamics question on work and heat.,
Wipro,Chemistry,Identify isomers and isotopes.,
Wipro,Maths,Probability of speakers speaking in order.,
Wipro,Permutation,Distribution of toys among children.,
Wipro,Calculus,Solve differential equation based curve.,
Wipro,Series,Find common terms between two arithmetic series.,
Wipro,Combinatorics,Selecting questions from two sections under constraints.,
Wipro,Probability,Probability that two randomly chosen numbers are not equal.,
Wipro,Coding-Decoding,Dictionary rank of a word.,
Wipro,OS,Page replacement algorithm with minimum page faults.,
Wipro,C Programming,Effect of CMP instruction in 8085.,
Wipro,Data Structures,Time complexity of sorting algorithms.,
Wipro,Networking,What is network schema?,
Wipro,Scheduling,Effect of large time quantum in round robin scheduling.,
Wipro,Graphs,Find eccentricity of a node in directed graph.,
Wipro,Algorithms,Convert infix expression to postfix.,
Wipro,Electronics,Question on FM bandwidth.,
Wipro,Quantitative Aptitude,Boat and stream problems.,
Wipro,Logical Reasoning,Seating arrangement around a table.,
Wipro,Technical-DBMS,Backward recovery in DBMS.,
