company,topic,question,answer
Amazon,SQL,Write a query to display employee name and department name including employees without any department.,
Amazon,DSA,Find the second largest element in an array with minimum number of comparisons.,
Amazon,DSA,Remove duplicates from a sorted array.,
Amazon,C Programming,Swap two variables without using extra memory.,
Amazon,C Programming,What is passed when an array is passed to a function in C?,
Amazon,Trees,Find the kth smallest element in a Binary Search Tree.,
Amazon,Trees,Check whether a binary tree is symmetric.,
Amazon,Linked List,Find the intersection point of two linked lists.,
Amazon,Algorithms,Find the missing number in an array containing numbers from 1 to n.,
Amazon,Algorithms,Find two numbers in an array whose sum equals a given value.,
Amazon,OS,Difference between process and thread.,
Amazon,OS,Explain page replacement algorithms.,
Amazon,OOP,Explain polymorphism with example.,
Amazon,OOP,What are the four principles of Object Oriented Programming?,
Amazon,Probability,Probability of selecting same colored socks from mixed pairs.,
Amazon,Shell,Write a shell command to find all Java files in nested directories.,
Amazon,DP,Maximum sum of non-adjacent elements in an array.,
Amazon,Hashing,Design an LRU Cache.,
Amazon,Sorting,Time complexity of different sorting algorithms.,
Google,General,Why do you want to join Google?,
Google,Algorithms,Explain BFS and DFS with time and space complexity.,
Google,Algorithms,Sort one million integers efficiently.,
Google,OS,Difference between mutex and semaphore.,
Google,OS,What is deadlock and how can it be prevented?,
Google,DBMS,Design SQL tables for a car rental system.,
Google,Networking,How are cookies passed in HTTP protocol?,
Google,C Programming,Implement division without using division operator.,
Google,DSA,Find minimum element in a rotated sorted array.,
Google,DSA,Detect cycle in a linked list.,
Google,Math,How many piano tuners are there in the world?,
Google,Logic,Why are manhole covers round?,
Google,System Design,Design a simple search engine.,
Google,System Design,Design an LRU cache.,
Google,Probability,Birthday paradox related question.,
Google,Java,"Difference between final, finally and finalize.",
Google,Graphs,Implement Dijkstra’s algorithm.,
Google,DP,Egg dropping problem.,
Google,Strings,Reverse a string without using extra memory.,
Google,Estimation,How many golf balls can fit in a school bus?,
